DateOfCall,PropertyCategory,NumPumpsAttending
01-01-2021,Dwelling,1
01-01-2021,Dwelling,1
01-01-2021,Dwelling,2
01-01-2021,Outdoor Structure,2
01-01-2021,Dwelling,2
01-01-2021,Dwelling,1
01-01-2021,Dwelling,2
01-01-2021,Dwelling,1
01-01-2021,Dwelling,3
01-01-2021,Outdoor Structure,2
01-01-2021,Other Residential,2
01-01-2021,Dwelling,1
01-01-2021,Dwelling,2
01-01-2021,Dwelling,2
01-01-2021,Outdoor,1
01-01-2021,Dwelling,1
01-01-2021,Dwelling,1
01-01-2021,Dwelling,2
01-01-2021,Non Residential,1
01-01-2021,Outdoor,1
01-01-2021,Dwelling,1
01-01-2021,Dwelling,1
01-01-2021,Outdoor,1
01-01-2021,Non Residential,1
01-01-2021,Dwelling,1
01-01-2021,Other Residential,1
01-01-2021,Dwelling,2
01-01-2021,Dwelling,1
01-01-2021,Dwelling,2
01-01-2021,Outdoor,1
01-01-2021,Outdoor Structure,1
01-01-2021,Dwelling,5
01-01-2021,Dwelling,2
01-01-2021,Dwelling,2
01-01-2021,Dwelling,1
01-01-2021,Dwelling,1
01-01-2021,Road Vehicle,1
01-01-2021,Non Residential,2
01-01-2021,Dwelling,2
01-01-2021,Outdoor Structure,1
01-01-2021,Dwelling,1
01-01-2021,Dwelling,1
01-01-2021,Dwelling,2
01-01-2021,Dwelling,2
01-01-2021,Dwelling,1
01-01-2021,Dwelling,1
01-01-2021,Dwelling,2
01-01-2021,Dwelling,2
01-01-2021,Dwelling,4
01-01-2021,Non Residential,2
01-01-2021,Dwelling,2
01-01-2021,Dwelling,1
01-01-2021,Dwelling,2
01-01-2021,Dwelling,5
01-01-2021,Outdoor,6
01-01-2021,Dwelling,2
01-01-2021,Non Residential,2
01-01-2021,Dwelling,2
01-01-2021,Dwelling,1
01-01-2021,Outdoor Structure,1
01-01-2021,Outdoor,1
01-01-2021,Dwelling,2
01-01-2021,Dwelling,2
01-01-2021,Dwelling,2
01-01-2021,Dwelling,4
01-01-2021,Road Vehicle,2
01-01-2021,Dwelling,2
01-01-2021,Dwelling,1
01-01-2021,Dwelling,2
01-01-2021,Dwelling,5
01-01-2021,Dwelling,2
01-01-2021,Road Vehicle,1
01-01-2021,Dwelling,2
01-01-2021,Dwelling,2
01-01-2021,Dwelling,2
01-01-2021,Dwelling,1
01-01-2021,Dwelling,1
01-01-2021,Dwelling,1
01-01-2021,Dwelling,2
01-01-2021,Dwelling,2
01-01-2021,Dwelling,2
01-01-2021,Dwelling,1
01-01-2021,Dwelling,1
01-01-2021,Dwelling,1
01-01-2021,Road Vehicle,1
01-01-2021,Outdoor,1
01-01-2021,Outdoor Structure,1
01-01-2021,Dwelling,1
01-01-2021,Dwelling,1
01-01-2021,Non Residential,5
01-01-2021,Dwelling,1
01-01-2021,Road Vehicle,2
01-01-2021,Dwelling,1
01-01-2021,Dwelling,2
01-01-2021,Dwelling,5
01-01-2021,Non Residential,1
01-01-2021,Non Residential,1
01-01-2021,Dwelling,2
01-01-2021,Dwelling,1
01-01-2021,Dwelling,2
01-01-2021,Dwelling,1
01-01-2021,Outdoor,1
01-01-2021,Other Residential,2
01-01-2021,Non Residential,2
01-01-2021,Dwelling,5
01-01-2021,Dwelling,1
01-01-2021,Outdoor,1
01-01-2021,Dwelling,2
01-01-2021,Dwelling,1
01-01-2021,Dwelling,1
01-01-2021,Outdoor,1
01-01-2021,Dwelling,1
01-01-2021,Dwelling,2
01-01-2021,Dwelling,2
01-01-2021,Non Residential,1
01-01-2021,Dwelling,1
01-01-2021,Dwelling,2
01-01-2021,Dwelling,2
02-01-2021,Dwelling,1
02-01-2021,Dwelling,2
02-01-2021,Dwelling,1
02-01-2021,Road Vehicle,1
02-01-2021,Dwelling,2
02-01-2021,Non Residential,1
02-01-2021,Dwelling,2
02-01-2021,Dwelling,2
02-01-2021,Dwelling,2
02-01-2021,Dwelling,1
02-01-2021,Dwelling,5
02-01-2021,Non Residential,2
02-01-2021,Dwelling,2
02-01-2021,Dwelling,1
02-01-2021,Outdoor,1
02-01-2021,Non Residential,1
02-01-2021,Road Vehicle,1
02-01-2021,Other Residential,1
02-01-2021,Dwelling,2
02-01-2021,Dwelling,1
02-01-2021,Outdoor,1
02-01-2021,Road Vehicle,1
02-01-2021,Dwelling,2
02-01-2021,Dwelling,2
02-01-2021,Dwelling,2
02-01-2021,Non Residential,1
02-01-2021,Other Residential,1
02-01-2021,Dwelling,2
02-01-2021,Dwelling,5
02-01-2021,Outdoor Structure,2
02-01-2021,Dwelling,5
02-01-2021,Non Residential,1
02-01-2021,Dwelling,2
02-01-2021,Dwelling,2
02-01-2021,Dwelling,1
02-01-2021,Road Vehicle,2
02-01-2021,Dwelling,3
02-01-2021,Non Residential,2
02-01-2021,Dwelling,5
02-01-2021,Road Vehicle,1
02-01-2021,Dwelling,5
02-01-2021,Dwelling,2
02-01-2021,Other Residential,2
02-01-2021,Dwelling,1
02-01-2021,Dwelling,2
02-01-2021,Dwelling,2
02-01-2021,Dwelling,2
02-01-2021,Dwelling,1
02-01-2021,Non Residential,1
02-01-2021,Dwelling,1
02-01-2021,Road Vehicle,3
02-01-2021,Dwelling,1
02-01-2021,Dwelling,1
02-01-2021,Dwelling,1
02-01-2021,Outdoor Structure,1
02-01-2021,Dwelling,2
02-01-2021,Dwelling,2
02-01-2021,Outdoor Structure,1
02-01-2021,Dwelling,1
02-01-2021,Non Residential,2
02-01-2021,Dwelling,1
02-01-2021,Road Vehicle,1
02-01-2021,Non Residential,1
02-01-2021,Dwelling,2
02-01-2021,Dwelling,1
02-01-2021,Road Vehicle,1
02-01-2021,Dwelling,1
02-01-2021,Dwelling,2
02-01-2021,Dwelling,1
02-01-2021,Dwelling,1
02-01-2021,Non Residential,1
02-01-2021,Dwelling,1
02-01-2021,Dwelling,3
02-01-2021,Dwelling,1
02-01-2021,Dwelling,1
02-01-2021,Other Residential,2
02-01-2021,Dwelling,1
02-01-2021,Outdoor,1
02-01-2021,Dwelling,1
02-01-2021,Dwelling,2
02-01-2021,Dwelling,1
02-01-2021,Outdoor,1
02-01-2021,Dwelling,1
02-01-2021,Dwelling,2
02-01-2021,Dwelling,1
02-01-2021,Other Residential,2
02-01-2021,Dwelling,2
02-01-2021,Dwelling,1
02-01-2021,Dwelling,1
02-01-2021,Dwelling,1
02-01-2021,Dwelling,1
02-01-2021,Dwelling,2
02-01-2021,Dwelling,5
02-01-2021,Dwelling,1
02-01-2021,Road Vehicle,2
02-01-2021,Other Residential,5
02-01-2021,Dwelling,1
02-01-2021,Other Residential,1
02-01-2021,Dwelling,1
02-01-2021,Dwelling,1
02-01-2021,Dwelling,2
02-01-2021,Dwelling,2
02-01-2021,Dwelling,2
02-01-2021,Non Residential,1
02-01-2021,Dwelling,2
02-01-2021,Dwelling,2
02-01-2021,Dwelling,6
02-01-2021,Dwelling,1
02-01-2021,Dwelling,2
02-01-2021,Dwelling,2
02-01-2021,Dwelling,1
02-01-2021,Dwelling,1
02-01-2021,Dwelling,2
02-01-2021,Dwelling,2
02-01-2021,Dwelling,1
02-01-2021,Dwelling,2
02-01-2021,Dwelling,1
02-01-2021,Dwelling,1
02-01-2021,Dwelling,2
02-01-2021,Outdoor,1
02-01-2021,Dwelling,2
02-01-2021,Dwelling,4
02-01-2021,Non Residential,1
02-01-2021,Dwelling,1
02-01-2021,Dwelling,2
02-01-2021,Dwelling,2
02-01-2021,Dwelling,1
02-01-2021,Dwelling,1
02-01-2021,Dwelling,1
02-01-2021,Dwelling,2
02-01-2021,Dwelling,3
02-01-2021,Dwelling,1
02-01-2021,Outdoor,1
02-01-2021,Dwelling,0
02-01-2021,Dwelling,1
02-01-2021,Dwelling,2
02-01-2021,Dwelling,1
02-01-2021,Dwelling,1
02-01-2021,Outdoor,2
02-01-2021,Non Residential,1
02-01-2021,Outdoor,1
02-01-2021,Dwelling,1
02-01-2021,Outdoor,1
02-01-2021,Dwelling,3
02-01-2021,Non Residential,2
02-01-2021,Road Vehicle,1
02-01-2021,Dwelling,2
02-01-2021,Dwelling,5
02-01-2021,Dwelling,1
02-01-2021,Outdoor,2
02-01-2021,Other Residential,2
02-01-2021,Non Residential,1
02-01-2021,Dwelling,4
02-01-2021,Dwelling,2
02-01-2021,Dwelling,2
02-01-2021,Dwelling,2
02-01-2021,Dwelling,1
02-01-2021,Dwelling,2
02-01-2021,Dwelling,2
02-01-2021,Dwelling,2
02-01-2021,Dwelling,2
02-01-2021,Dwelling,1
02-01-2021,Other Residential,2
02-01-2021,Dwelling,2
02-01-2021,Dwelling,2
02-01-2021,Dwelling,1
02-01-2021,Dwelling,2
02-01-2021,Outdoor Structure,1
02-01-2021,Dwelling,1
02-01-2021,Dwelling,2
02-01-2021,Other Residential,2
02-01-2021,Dwelling,1
02-01-2021,Outdoor,1
02-01-2021,Outdoor,1
02-01-2021,Dwelling,2
02-01-2021,Dwelling,1
02-01-2021,Dwelling,2
02-01-2021,Dwelling,1
02-01-2021,Dwelling,2
02-01-2021,Outdoor Structure,2
02-01-2021,Dwelling,1
02-01-2021,Non Residential,2
02-01-2021,Dwelling,1
02-01-2021,Dwelling,1
02-01-2021,Dwelling,2
02-01-2021,Road Vehicle,1
02-01-2021,Dwelling,2
02-01-2021,Dwelling,4
02-01-2021,Dwelling,2
02-01-2021,Dwelling,1
02-01-2021,Dwelling,2
02-01-2021,Dwelling,2
02-01-2021,Dwelling,1
02-01-2021,Outdoor,1
02-01-2021,Dwelling,1
02-01-2021,Dwelling,5
02-01-2021,Dwelling,2
02-01-2021,Road Vehicle,2
02-01-2021,Dwelling,1
02-01-2021,Road Vehicle,1
02-01-2021,Dwelling,2
02-01-2021,Outdoor Structure,0
02-01-2021,Outdoor Structure,1
02-01-2021,Dwelling,1
02-01-2021,Non Residential,5
02-01-2021,Dwelling,1
02-01-2021,Dwelling,5
02-01-2021,Dwelling,2
02-01-2021,Dwelling,1
02-01-2021,Other Residential,2
02-01-2021,Dwelling,2
02-01-2021,Dwelling,1
02-01-2021,Dwelling,1
02-01-2021,Dwelling,1
02-01-2021,Road Vehicle,2
02-01-2021,Dwelling,2
02-01-2021,Dwelling,2
02-01-2021,Dwelling,2
02-01-2021,Non Residential,1
02-01-2021,Dwelling,1
02-01-2021,Other Residential,2
02-01-2021,Dwelling,5
02-01-2021,Dwelling,1
02-01-2021,Dwelling,1
02-01-2021,Dwelling,3
02-01-2021,Non Residential,2
02-01-2021,Dwelling,2
02-01-2021,Dwelling,1
02-01-2021,Dwelling,2
02-01-2021,Road Vehicle,1
02-01-2021,Dwelling,2
02-01-2021,Other Residential,2
02-01-2021,Dwelling,1
02-01-2021,Non Residential,1
02-01-2021,Dwelling,2
02-01-2021,Dwelling,2
02-01-2021,Dwelling,1
02-01-2021,Dwelling,2
02-01-2021,Dwelling,1
02-01-2021,Dwelling,1
02-01-2021,Dwelling,2
02-01-2021,Non Residential,1
02-01-2021,Non Residential,1
02-01-2021,Dwelling,2
02-01-2021,Dwelling,2
02-01-2021,Dwelling,1
02-01-2021,Non Residential,2
02-01-2021,Dwelling,2
02-01-2021,Other Residential,1
02-01-2021,Dwelling,1
02-01-2021,Dwelling,2
03-01-2021,Dwelling,2
03-01-2021,Outdoor Structure,1
03-01-2021,Dwelling,1
03-01-2021,Dwelling,5
03-01-2021,Road Vehicle,1
03-01-2021,Dwelling,1
03-01-2021,Dwelling,2
03-01-2021,Dwelling,1
03-01-2021,Outdoor Structure,1
03-01-2021,Dwelling,2
03-01-2021,Non Residential,1
03-01-2021,Outdoor,2
03-01-2021,Non Residential,1
03-01-2021,Dwelling,2
03-01-2021,Dwelling,2
03-01-2021,Dwelling,2
03-01-2021,Non Residential,1
03-01-2021,Dwelling,2
03-01-2021,Dwelling,2
03-01-2021,Road Vehicle,1
03-01-2021,Dwelling,2
03-01-2021,Non Residential,1
03-01-2021,Dwelling,2
03-01-2021,Road Vehicle,2
03-01-2021,Dwelling,2
03-01-2021,Non Residential,1
03-01-2021,Non Residential,2
03-01-2021,Outdoor,2
03-01-2021,Other Residential,3
03-01-2021,Dwelling,2
03-01-2021,Dwelling,1
03-01-2021,Other Residential,1
03-01-2021,Dwelling,4
03-01-2021,Dwelling,2
03-01-2021,Dwelling,2
03-01-2021,Dwelling,1
03-01-2021,Dwelling,1
03-01-2021,Non Residential,1
03-01-2021,Dwelling,2
03-01-2021,Other Residential,3
03-01-2021,Dwelling,0
03-01-2021,Dwelling,1
03-01-2021,Non Residential,2
03-01-2021,Other Residential,5
03-01-2021,Dwelling,2
03-01-2021,Dwelling,1
03-01-2021,Dwelling,1
03-01-2021,Road Vehicle,2
03-01-2021,Non Residential,1
03-01-2021,Dwelling,1
03-01-2021,Dwelling,2
03-01-2021,Dwelling,2
03-01-2021,Non Residential,1
03-01-2021,Non Residential,2
03-01-2021,Dwelling,1
03-01-2021,Non Residential,1
03-01-2021,Dwelling,1
03-01-2021,Dwelling,1
03-01-2021,Non Residential,1
03-01-2021,Non Residential,1
03-01-2021,Dwelling,1
03-01-2021,Dwelling,1
03-01-2021,Rail Vehicle,2
03-01-2021,Non Residential,1
03-01-2021,Dwelling,2
03-01-2021,Other Residential,3
03-01-2021,Dwelling,2
03-01-2021,Dwelling,2
03-01-2021,Dwelling,2
03-01-2021,Dwelling,1
03-01-2021,Other Residential,1
03-01-2021,Dwelling,1
03-01-2021,Dwelling,2
03-01-2021,Dwelling,1
03-01-2021,Dwelling,1
03-01-2021,Dwelling,2
03-01-2021,Dwelling,2
03-01-2021,Dwelling,1
03-01-2021,Dwelling,3
03-01-2021,Dwelling,1
03-01-2021,Dwelling,2
03-01-2021,Dwelling,4
03-01-2021,Dwelling,2
03-01-2021,Dwelling,2
03-01-2021,Other Residential,3
03-01-2021,Dwelling,1
03-01-2021,Dwelling,4
03-01-2021,Dwelling,1
03-01-2021,Dwelling,2
03-01-2021,Dwelling,2
03-01-2021,Non Residential,1
03-01-2021,Dwelling,1
03-01-2021,Dwelling,5
03-01-2021,Dwelling,2
03-01-2021,Outdoor Structure,1
03-01-2021,Dwelling,0
03-01-2021,Dwelling,1
03-01-2021,Non Residential,1
03-01-2021,Dwelling,2
03-01-2021,Dwelling,1
03-01-2021,Dwelling,2
03-01-2021,Dwelling,1
03-01-2021,Dwelling,1
03-01-2021,Outdoor,2
03-01-2021,Dwelling,1
03-01-2021,Non Residential,1
03-01-2021,Dwelling,1
03-01-2021,Dwelling,1
03-01-2021,Outdoor,2
03-01-2021,Outdoor,3
03-01-2021,Dwelling,1
03-01-2021,Outdoor Structure,1
03-01-2021,Dwelling,2
03-01-2021,Non Residential,1
03-01-2021,Dwelling,1
03-01-2021,Dwelling,2
03-01-2021,Non Residential,1
03-01-2021,Dwelling,1
03-01-2021,Dwelling,2
03-01-2021,Dwelling,1
03-01-2021,Dwelling,1
03-01-2021,Non Residential,2
03-01-2021,Dwelling,2
03-01-2021,Dwelling,1
03-01-2021,Dwelling,1
03-01-2021,Dwelling,2
03-01-2021,Dwelling,1
03-01-2021,Dwelling,1
03-01-2021,Dwelling,2
03-01-2021,Dwelling,1
03-01-2021,Dwelling,1
03-01-2021,Road Vehicle,2
03-01-2021,Road Vehicle,1
03-01-2021,Outdoor,1
03-01-2021,Dwelling,2
03-01-2021,Dwelling,2
03-01-2021,Dwelling,1
03-01-2021,Road Vehicle,2
03-01-2021,Dwelling,1
03-01-2021,Dwelling,1
03-01-2021,Non Residential,1
03-01-2021,Dwelling,5
03-01-2021,Dwelling,2
03-01-2021,Dwelling,1
03-01-2021,Dwelling,1
03-01-2021,Dwelling,1
03-01-2021,Road Vehicle,1
03-01-2021,Dwelling,1
03-01-2021,Dwelling,1
03-01-2021,Non Residential,1
03-01-2021,Dwelling,1
03-01-2021,Dwelling,1
03-01-2021,Outdoor,1
03-01-2021,Dwelling,1
03-01-2021,Dwelling,1
03-01-2021,Dwelling,1
03-01-2021,Dwelling,1
03-01-2021,Dwelling,2
03-01-2021,Other Residential,2
03-01-2021,Non Residential,1
03-01-2021,Dwelling,2
03-01-2021,Dwelling,2
03-01-2021,Road Vehicle,1
03-01-2021,Outdoor Structure,2
03-01-2021,Dwelling,3
03-01-2021,Dwelling,1
03-01-2021,Dwelling,1
03-01-2021,Outdoor,1
03-01-2021,Dwelling,3
03-01-2021,Dwelling,2
03-01-2021,Dwelling,2
03-01-2021,Other Residential,2
03-01-2021,Dwelling,1
03-01-2021,Outdoor,1
03-01-2021,Dwelling,1
03-01-2021,Dwelling,1
03-01-2021,Dwelling,2
03-01-2021,Outdoor,1
03-01-2021,Dwelling,2
03-01-2021,Outdoor Structure,1
03-01-2021,Dwelling,2
03-01-2021,Other Residential,1
03-01-2021,Dwelling,0
03-01-2021,Dwelling,1
03-01-2021,Dwelling,2
03-01-2021,Dwelling,2
03-01-2021,Dwelling,2
03-01-2021,Dwelling,2
03-01-2021,Dwelling,1
03-01-2021,Road Vehicle,1
03-01-2021,Dwelling,2
03-01-2021,Dwelling,2
03-01-2021,Road Vehicle,1
03-01-2021,Dwelling,2
03-01-2021,Dwelling,1
03-01-2021,Dwelling,3
03-01-2021,Dwelling,1
03-01-2021,Dwelling,1
03-01-2021,Dwelling,1
03-01-2021,Dwelling,2
03-01-2021,Road Vehicle,1
03-01-2021,Dwelling,1
03-01-2021,Dwelling,1
03-01-2021,Dwelling,1
03-01-2021,Dwelling,2
03-01-2021,Dwelling,1
03-01-2021,Dwelling,1
03-01-2021,Dwelling,1
03-01-2021,Dwelling,2
03-01-2021,Dwelling,1
04-01-2021,Dwelling,1
04-01-2021,Dwelling,2
04-01-2021,Non Residential,1
04-01-2021,Dwelling,2
04-01-2021,Dwelling,1
04-01-2021,Dwelling,5
04-01-2021,Dwelling,2
04-01-2021,Dwelling,3
04-01-2021,Other Residential,1
04-01-2021,Non Residential,1
04-01-2021,Dwelling,2
04-01-2021,Dwelling,2
04-01-2021,Dwelling,2
04-01-2021,Dwelling,1
04-01-2021,Dwelling,5
04-01-2021,Other Residential,1
04-01-2021,Dwelling,1
04-01-2021,Outdoor Structure,1
04-01-2021,Other Residential,2
04-01-2021,Dwelling,2
04-01-2021,Outdoor Structure,2
04-01-2021,Dwelling,2
